chr length coding_length gene_count
1 248956422 145862751 2319
2 242193529 901248797 1463
3 198295559 90909969 1228
4 190214555 401171020 869
5 181538259 1157015311 1003
6 170805979 88763210 1189
7 159345973 109456498 1110
8 145138636 70442817 807
9 138394717 188921219 944
10 133797422 86244908 898
11 135086622 58609283 1435
12 133275309 58798305 1163
13 114364328 33145946 396
14 107043718 35929905 766
15 101991189 72329640 802
16 90338345 69076507 939
17 83257441 97199122 1344
18 80373285 29558021 327
19 58617616 51500981 1612
20 64444167 27599912 645
21 46709983 13292605 291
22 50818468 19323974 539
X 156040895 98159665 1002
Y 57227415 0 0
